category,exam1_score,exam2_score,student_name
Category2,21,200,Carmen Boehm-Thompson
Category1,97,170,Miss Cassandra Goodwin II
Category2,33,118,Kelli Orn
Category1,94,197,Frances Dickens
Category2,80,136,Donna Kohler DDS
Category1,57,123,Dennis Bernhard
Category2,30,141,Ms. Whitney Gibson
Category1,27,153,Miss Jill Boyle MD
Category2,5,141,Terrance Rodriguez
Category1,29,145,Carole Steuber
Category2,82,189,Byron Reilly
Category1,52,155,Kristine Grant
Category2,25,120,Garry Berge
Category1,1,130,Geraldine Balistreri PhD
Category2,54,191,Evelyn Shields
Category1,41,123,Larry Hackett
Category2,73,136,Wilfred Mitchell
Category1,97,182,Ellis Anderson
Category2,32,186,Bill Swaniawski
Category1,63,118,Alexandra Beatty I
Category2,15,174,Krista Buckridge
Category1,42,195,Michelle Ernser
Category2,56,181,Minnie Cormier
Category1,54,106,Ernest Kuvalis
Category2,8,164,Katrina Robel
Category1,57,102,Neil Smith
Category2,2,170,Gilbert Hirthe
Category1,30,181,Wilfred Pfannerstill
Category2,50,180,Ricky Rogahn DVM
Category1,68,172,Jesus Daugherty
Category2,10,170,Sam Schumm
Category1,49,155,Roy Welch
Category2,7,123,Brad Zieme
Category1,68,179,Mr. Stephen Gulgowski-Lakin
Category2,16,133,Walter Lakin
Category1,58,192,Larry Kovacek
Category2,74,121,Joanna Marvin
Category1,52,193,Nicole Pollich
Category2,41,126,Kurt Kirlin
Category1,17,153,Hubert Schumm III
Category2,21,124,Gretchen Cronin
Category1,80,111,Mr. Leonard Buckridge
Category2,76,145,Mrs. Alison Gleason
Category1,35,112,Melissa Brown-Hauck
Category2,48,119,Josh Hahn
Category1,59,124,Shane Waters
Category2,9,198,Miss Nancy Wisozk DDS
Category1,9,124,Ms. Melba Greenfelder
Category2,17,115,Dr. Brian Davis
Category1,47,135,Edwin Hamill
Category2,54,111,Roxanne Wunsch II
Category1,3,119,Earl Bahringer
Category2,29,110,Constance Bergnaum
Category1,8,132,Maureen Cormier
Category2,55,147,Shelia Strosin
Category1,30,110,Jeremiah Bergstrom
Category2,33,114,Keith Deckow
Category1,64,147,Darla Nikolaus
Category2,3,168,Arturo Streich
Category1,2,185,Terrance Schumm
Category2,19,142,Kurt Mertz
Category1,78,184,Omar Mueller
Category2,32,130,Jean McKenzie
Category1,82,185,Derrick Mills
Category2,22,119,Dr. Sophie Stokes
Category1,82,154,Eleanor Cummings
Category2,28,156,Priscilla Mayer
Category1,27,110,Luther Connelly
Category2,41,146,Eloise Marks
Category1,69,198,Crystal Davis
Category2,4,105,Wm Wunsch
Category1,85,122,Candace Kris
Category2,43,151,Miss Melissa Heaney
Category1,17,147,Joann Wisozk
Category2,51,158,Santos Gleason
Category1,83,197,Dr. Christy Bauch
Category2,89,151,Dennis Fadel
Category1,29,142,Ronald VonRueden
Category2,11,113,Carlos Osinski
Category1,57,163,Marlon Fadel DVM
Category2,73,187,Vincent Vandervort-Larkin
Category1,40,144,Ray Cummerata
Category2,76,175,Sylvia Nikolaus
Category1,90,128,Neal Feil Jr.
Category2,62,158,Jackie Sanford
Category1,58,152,Mr. Ray Block
Category2,37,176,Perry Morar
Category1,95,141,Dr. Moses Heaney
Category2,81,118,Joyce Romaguera
Category1,48,173,Frankie Bartoletti
Category2,78,177,Miss Wendy Schoen
Category1,5,107,Andy Kilback
Category2,87,163,Dana Heller
Category1,17,117,Denise Hills
Category2,15,199,Minnie Gottlieb
Category1,10,176,Lillian Bosco
Category2,94,149,Camille Jaskolski
Category1,87,113,Roland Mohr MD
Category2,41,141,Travis Ruecker
Category1,36,159,Cathy Cummerata
Category2,30,194,Marta Orn
Category1,52,182,Dr. Kirk Howell
Category2,60,151,Jaime Fadel
Category1,42,186,Jeremiah Rosenbaum Sr.
Category2,19,107,Lorena Friesen Sr.
Category1,58,111,Mrs. Irene Leannon MD
Category2,81,148,Ian Bode
Category1,15,178,Margie Yost
Category2,95,156,Miss Mona Cole
Category1,50,130,Matt Herman
Category2,44,173,Casey Nitzsche
Category1,18,173,Benjamin Huel-Fadel
Category2,43,198,Ruth Gleichner
Category1,88,195,Dr. Horace Schamberger
Category2,58,168,Toni Bogisich
Category1,77,118,Leroy Tromp
Category2,2,111,Stephanie Jerde
Category1,8,154,Maxine Harris
Category2,95,192,Heidi Crooks
Category1,76,181,Samuel Morar
Category2,93,200,Lynette Beer
Category1,20,182,Joey Mueller
Category2,44,186,Lawrence Tremblay
Category1,71,149,Essie Kunze
Category2,69,184,Lauren Connelly
Category1,40,198,Mrs. Sylvia Emmerich-Thompson
Category2,10,169,Tina Powlowski I
Category1,13,159,Maurice Schultz
Category2,83,192,Cecelia Marvin
Category1,25,188,Sheila Little III
Category2,61,167,Veronica Hagenes Sr.
Category1,40,144,Darren West
Category2,89,181,Margaret Schulist
Category1,15,129,Loren Funk
Category2,54,122,Randall Beer
Category1,1,155,Eric Roob II
Category2,49,120,Doug Gorczany MD
Category1,87,179,Patsy Wilkinson
Category2,14,137,Ms. Pat Kshlerin V
Category1,6,147,Israel Huels
Category2,64,142,Jasmine Mosciski
Category1,80,134,Alan Carter
Category2,50,168,Jeremy Langosh
Category1,23,183,Marshall Veum
Category2,34,133,Corey Weissnat
Category1,90,144,Dr. Ella Bins
Category2,67,149,Alejandro Crist
Category1,4,119,Hope Schmitt
Category2,99,141,Jasmine Shanahan
Category1,3,191,Guillermo Lynch
Category2,75,181,Becky Rempel
Category1,58,135,Lewis Gutkowski
Category2,22,143,Jodi Boyer
Category1,81,129,Reginald Auer
Category2,59,149,Jessie Metz DVM
Category1,24,146,Tami Jaskolski Jr.
Category2,89,157,Sally Johnston
Category1,48,115,Myra Cassin I
Category2,46,194,Dennis Ritchie
Category1,69,126,Jeanne Lehner Jr.
Category2,28,153,Willis Nicolas
Category1,95,162,Jeffery Schumm
Category2,44,157,Hattie Considine
Category1,25,154,Evan Gulgowski
Category2,68,153,Guadalupe Hirthe
Category1,2,104,Richard Pfeffer V
Category2,21,197,Sophie Okuneva
Category1,96,119,Willie Schuppe
Category2,90,127,Ruben Wilderman
Category1,9,107,Jim McKenzie
Category2,58,135,Gregg Abshire
Category1,6,146,Rachel Morissette
Category2,43,133,Peter Koss
Category1,22,170,Nicholas Hansen
Category2,75,106,Laurie Huel
Category1,7,123,Kathy Terry
Category2,75,167,Wayne Jerde
Category1,43,104,Garrett Moen
Category2,71,131,Sonia Braun
Category1,72,196,Ms. Velma Hudson
Category2,47,142,Darin Bednar
Category1,23,102,Nick Koepp
Category2,46,148,Emily Maggio
Category1,7,130,Vanessa Baumbach
Category2,63,200,Donna Hansen
Category1,67,193,Philip Turner-Williamson
Category2,20,117,Melinda Okuneva Jr.
Category1,69,123,Faith Schuppe
Category2,50,188,Brent Dietrich
Category1,75,161,Jacqueline Gusikowski
Category2,19,112,Jerome Bradtke
Category1,90,153,Mr. Allan Orn IV
Category2,78,107,Minnie Cremin Sr.
Category1,66,181,Eduardo Johnson
Category2,96,153,Dr. Paula Langosh PhD
Category1,32,132,Deanna Feil
Category2,78,184,Ernesto Keeling
Category1,63,185,Dr. Emilio Gusikowski
Category2,4,150,Courtney Crist
Category1,60,137,Ken Turcotte
Category2,64,104,Oliver Feil
Category1,90,191,Monica Dickinson
Category2,14,157,Angel Littel
Category1,92,200,Dr. Darlene Torp-Rippin
Category2,11,111,Vicky Lind
Category1,37,172,Terry Rogahn
Category2,84,173,Arthur Morissette
Category1,37,137,Larry King
Category2,79,171,Bessie Dietrich
Category1,75,167,Mr. Philip Schinner
Category2,83,171,Yolanda Wolff
Category1,39,150,Betsy Gleason
Category2,47,150,Erick Wuckert
Category1,57,107,Pauline Murphy
Category2,26,179,Stanley Walsh
Category1,84,187,Mathew Klein
Category2,99,112,Tonya Beatty
Category1,1,166,Pam Weimann
Category2,45,189,Marcia Nicolas IV
Category1,76,136,Eloise Herman-Von
Category2,96,159,Joan Schmeler I
Category1,69,174,Alan Gleason
Category2,29,167,Wilma Nicolas
Category1,31,116,Karl Prohaska
Category2,31,148,Shannon Little
Category1,29,151,Rudolph Hodkiewicz
Category2,81,124,Esther Schiller III
Category1,35,161,Mae Champlin
Category2,71,193,Leroy Batz
Category1,5,181,Jamie Gorczany
Category2,86,103,Israel Bode
Category1,49,190,Lauren Schowalter
Category2,17,193,Carmen Sipes-McClure I
Category1,38,144,Dr. Raul Heaney
Category2,38,152,Cindy Nitzsche
Category1,76,102,Aaron Casper
Category2,55,197,Monica Goodwin
Category1,8,157,Mr. Bennie Mueller
Category2,8,146,Sylvia Predovic
Category1,1,132,Christina Dietrich MD
Category2,53,137,Lucas Grady
Category1,94,102,Laura Mertz
Category2,23,108,Dr. Ian Roberts
Category1,7,113,Dawn Feeney
Category2,68,124,Tonya Hegmann IV
Category1,64,194,Ora Lindgren
Category2,5,141,Sonia Botsford
Category1,88,183,Elijah Monahan
Category2,44,125,Homer Reichert
Category1,7,142,Ian Feeney
Category2,74,190,Domingo Rohan-Mitchell Jr.
Category1,37,175,Elisa Miller
Category2,78,118,Ted Vandervort
Category1,52,187,Gilbert Simonis
Category2,51,106,Ms. Belinda Bernhard DVM
Category1,100,122,Cornelius Hoeger-Nicolas
Category2,93,127,Jermaine Ward
Category1,92,149,Sylvester Schmidt
Category2,71,127,Courtney Franey
Category1,74,136,Tabitha Rutherford
Category2,12,135,Laurence Koss-Wehner
Category1,18,105,Terrance Rodriguez
Category2,58,109,Barry Fahey
Category1,86,195,Gordon Shanahan
Category2,11,124,Miriam Daniel
Category1,50,160,Wade Rath Jr.
Category2,39,130,Ian Bednar
Category1,52,199,Johanna Marquardt
Category2,40,122,Viola Rice V
Category1,94,135,Rhonda Bogan
Category2,39,196,Mr. Marlon Crooks
Category1,15,183,Terry Kovacek
Category2,75,127,Johnny Lebsack
Category1,72,128,Alfred Flatley
Category2,88,144,Pat Kshlerin
Category1,30,103,Ollie Yundt
Category2,74,193,Lela Bednar
Category1,5,123,Heather Runolfsdottir
Category2,2,141,Vickie Keeling-Spencer
Category1,7,131,Minnie Waters
Category2,34,165,Viola Gusikowski
Category1,27,144,Ginger Rutherford
Category2,27,130,Larry Graham
Category1,62,152,Ramiro Corkery
Category2,43,108,Jeffery Ankunding DDS
Category1,72,172,Dianne Wilkinson
Category2,50,190,Desiree Metz
Category1,18,183,Jon Collier
Category2,9,108,Carroll Marquardt
Category1,86,195,Clint Anderson-Keebler
Category2,2,130,Lester Larson
Category1,51,151,Herbert Lueilwitz
Category2,41,128,Darla O'Connell
Category1,69,116,Darrin Donnelly Jr.
Category2,77,142,Mandy Roberts
Category1,50,148,Antonia Rosenbaum
Category2,15,157,Laurence Luettgen
Category1,53,200,Darryl Romaguera
Category2,98,157,Clinton Marks
Category1,77,116,Grant Rodriguez
Category2,66,135,April Carter
Category1,100,175,Mr. Leslie Kertzmann
Category2,83,176,Yolanda Jenkins V
Category1,28,165,Angel Kshlerin
Category2,24,136,Laverne Predovic
Category1,86,120,Garry Block
Category2,18,152,Orlando Hoppe
Category1,76,192,Marianne Hoppe
Category2,29,106,Ollie Larson
Category1,95,127,June Hayes DDS
Category2,72,141,Eula Schumm
Category1,27,129,William Goldner
Category2,84,157,Lynn Gottlieb
Category1,57,197,Reginald Gibson
Category2,73,162,Jerome Nolan
Category1,34,133,Stephen Carter
Category2,68,155,Winston Wintheiser
Category1,49,114,Lynette Mueller
Category2,19,113,Jan Marvin
Category1,33,188,Kelvin Erdman
Category2,54,128,Kristie Tromp
Category1,36,191,Clint Hoeger
Category2,16,162,Orville Glover
Category1,51,145,Sally Leuschke-Prohaska
Category2,52,163,Claude Marvin
Category1,94,159,Toby Wilderman
Category2,57,112,Pablo Schumm
Category1,25,106,Salvatore Conn
Category2,20,198,Dr. Luke D'Amore
Category1,36,184,Mrs. Angie Gottlieb
Category2,71,181,Dr. Lamar Torp
Category1,1,131,Dr. Alton Schoen
Category2,9,107,Santos Treutel
Category1,57,120,Dr. Erma VonRueden
Category2,2,129,Dr. Andrew Ankunding
Category1,45,147,Mrs. Amber Nolan-Hansen
Category2,23,198,Kim Wilderman Sr.
Category1,23,153,Walter Haag
Category2,93,147,Angel Torphy
Category1,33,120,Madeline Jacobi
Category2,24,190,Shirley Purdy
Category1,10,106,Miss Vera Deckow
Category2,57,123,Troy Abernathy
Category1,3,156,Wanda Heller
Category2,49,131,Pam Jerde
Category1,28,171,Ms. Judy Fay
Category2,61,169,Gregg Roberts
Category1,43,139,Dr. Jimmy Willms
Category2,65,137,Meredith Hilll
Category1,20,166,Mrs. Sophie Beahan
Category2,58,178,Salvador Murphy
Category1,48,178,Victor Turcotte
Category2,4,132,Randolph Pfeffer
Category1,14,132,Virgil Kuhlman
Category2,86,180,Sue Dickinson IV
Category1,46,142,Hannah Boyle
Category2,85,190,Julia Casper
Category1,1,135,Bryan Russel
Category2,37,159,Dr. Aubrey Larson
Category1,99,151,Faye Schaden
Category2,76,130,Lois Hintz-Vandervort
Category1,21,142,Otis Lakin III
Category2,84,170,Malcolm Franey
Category1,46,117,Josephine Bode
Category2,52,181,Peggy Kilback
Category1,100,121,Gabriel Stroman
Category2,76,163,Derek Jerde
Category1,62,193,Geoffrey Roberts
Category2,35,193,Benjamin Daniel
Category1,90,187,Elsa Crona
Category2,91,133,Janis Ryan
Category1,70,117,Belinda Dach
Category2,48,191,Candace Purdy
Category1,37,167,Shane Brekke
Category2,15,167,Dr. Oliver Bins
Category1,62,189,Henry Ratke
Category2,51,152,Miss Kathryn Lakin DDS
Category1,3,171,Kristopher Bechtelar
Category2,22,136,Wendell Cremin
Category1,52,167,Darryl Thompson
Category2,30,126,Alfred Senger
Category1,68,179,Christina Runte
Category2,48,109,Lori Jones
Category1,87,155,Rochelle Lehner
Category2,41,104,Krystal Grady
Category1,39,136,Brian Maggio
Category2,11,133,Dr. Ben Johnston
Category1,95,123,Wallace Wisozk
Category2,48,157,Arlene Goyette
Category1,91,112,Antoinette McCullough
Category2,94,102,Israel Ryan
Category1,88,160,Vivian Windler DDS
Category2,2,200,Marvin Will
Category1,18,131,Alicia Berge
Category2,79,163,Harvey Runte
Category1,19,135,Ada Stracke
Category2,50,184,Stacy Stehr MD
Category1,32,179,Brian Hudson
Category2,55,145,Ryan Bechtelar
Category1,32,172,Ricardo Connelly
Category2,85,170,Patti Daniel
Category1,82,145,Andy Miller IV
Category2,83,165,Toni Goodwin Jr.
Category1,87,181,Minnie Sanford
Category2,29,114,Laurie Bauch
Category1,62,163,Dora Feeney
Category2,21,102,Reginald Hauck
Category1,42,188,Courtney Brakus
Category2,85,159,Mae Trantow
Category1,43,149,Rudolph Strosin
Category2,3,111,Janie Reynolds Jr.
Category1,15,130,Maureen McClure I
Category2,57,152,Marco Collier
Category1,34,175,Francis Ferry
Category2,96,190,Willard Kshlerin MD
Category1,23,185,Sheryl Carter
Category2,27,130,Bryant Collins
Category1,76,150,Ricky Lakin
Category2,91,133,Bobby Corkery
Category1,20,180,Crystal Harris
Category2,70,179,Tiffany Nikolaus DDS
Category1,67,149,Laverne Gleichner
Category2,4,136,Jill Parisian
Category1,5,153,Lydia Lang
Category2,98,166,Dr. Pete Barrows
Category1,4,146,Mrs. Harriet Stark III
Category2,76,195,Blanca Dach
Category1,85,122,Velma Strosin
Category2,27,139,Morris Sawayn
Category1,46,168,Vincent Keeling
Category2,67,166,Melba Bernhard
Category1,7,149,Felipe Dickinson
Category2,10,151,Miss Sherry Turcotte
Category1,6,195,Roland Sanford Jr.
Category2,57,114,Alberto Collins
Category1,77,169,Cody Kunde
Category2,88,109,Celia McClure
Category1,97,101,Ms. Amber Lockman
Category2,93,179,Dean Blanda
Category1,11,196,Dr. Armando Roob-Lynch
Category2,73,135,Charlie Raynor
Category1,76,130,Heather Rath
Category2,56,120,Mr. Ray Bednar
Category1,83,171,Cary Shanahan
Category2,35,186,Mrs. Leah Mitchell III
Category1,13,183,Dexter Kessler
Category2,86,186,Mike Jerde
Category1,26,190,Sally Tromp
Category2,76,187,Simon Gottlieb
Category1,29,170,Miss Renee Spencer
Category2,68,108,Laurence Schiller
Category1,25,182,Ramona Kovacek
Category2,82,127,Adrian Kautzer
Category1,56,147,Alicia Weber Sr.
Category2,22,119,Lucas Rosenbaum
Category1,80,170,Gerard Fadel I
Category2,11,118,Carroll Hickle
Category1,49,116,Wayne Schaefer
Category2,23,184,Ms. Marian Abernathy
Category1,18,154,Ms. Mable Graham
Category2,93,129,Ms. Tina Donnelly
Category1,48,173,Benny Jenkins
Category2,84,152,Vickie Prohaska
Category1,48,148,Maureen Roberts III
Category2,39,168,Carole Lind
Category1,58,102,Miss Sharon McClure DDS
Category2,55,174,Arlene Friesen
Category1,57,186,Hubert Johnson
Category2,56,125,Francis Cormier
Category1,45,160,Dr. Jesse Dibbert
Category2,26,167,Miss Heidi Hoeger
Category1,77,188,Steve Goyette
Category2,37,124,Josephine Maggio
Category1,8,176,Jeffrey Sporer
Category2,18,122,Curtis O'Keefe Sr.
Category1,57,132,Mr. Jerry Heidenreich PhD
Category2,17,185,Mrs. Christine Streich
Category1,48,151,Dr. Terrell Mueller
Category2,99,114,Jesse Gusikowski-Bergnaum
Category1,28,114,Dr. Pat King
Category2,80,153,Theodore Marks-Kulas
Category1,26,143,Carlos Kovacek
Category2,46,175,Traci D'Amore
Category1,78,200,Jackie Bauch
Category2,72,112,Alberta Turner
Category1,64,120,Miss Christie West
Category2,26,101,Ernest Hilll
Category1,99,109,Charles Kohler
Category2,63,113,Samantha Schmidt DDS
Category1,23,135,Frances Jaskolski
Category2,21,173,Cesar Stokes
Category1,53,146,Angelo Tremblay
Category2,20,158,Paula Gibson-Larson
Category1,98,189,Shane Cormier
Category2,74,194,Carmen Legros
Category1,54,137,Jonathan Barrows
Category2,3,104,Melinda Goodwin
Category1,25,119,Vincent Mante
Category2,86,134,Casey Franecki III
Category1,14,126,Devin Schmitt
Category2,89,182,Vivian Schmitt
Category1,68,171,Pearl Franecki
Category2,25,192,Orville Kutch
Category1,78,196,Heidi Kunde
Category2,12,192,Kerry Block DDS
Category1,41,150,Leticia Morissette
Category2,95,115,Frederick Gutkowski
Category1,69,193,Noel Schuster
Category2,32,155,Sandra Jacobi
Category1,31,145,Lorraine Corwin
Category2,43,181,Dr. Edward Beatty
Category1,67,176,Beatrice Kassulke
Category2,38,165,Lisa Grimes
Category1,22,200,Bonnie Prosacco
Category2,68,122,Tiffany Morar
Category1,29,114,Kathleen Keebler
Category2,79,133,Michele Russel
Category1,21,131,Kristie Lehner
Category2,42,137,Jason Schultz
Category1,69,118,Jo Littel
Category2,15,107,Cheryl Stokes
Category1,74,112,Enrique Hayes
Category2,51,115,Kelvin Moore
Category1,43,138,Krista Gleason
Category2,46,186,Shelia Parisian
Category1,89,143,Jean Vandervort
Category2,29,145,Everett Strosin
Category1,5,140,Aubrey Sauer
Category2,7,151,Ms. Vanessa Sporer
Category1,15,178,Charlotte Nikolaus
Category2,2,150,Mr. Cecil Haag
Category1,90,136,Laurence Corkery
Category2,17,151,Jack Berge
Category1,64,193,Emily Wuckert
Category2,69,107,Ted Rodriguez
Category1,61,142,Lula Ortiz
Category2,16,103,Leslie Moore
Category1,45,176,Horace Wolff
Category2,61,175,Fredrick Macejkovic
Category1,77,193,Roman Thiel
Category2,94,149,Florence Bechtelar
Category1,64,193,Sherry Konopelski
Category2,49,191,Violet Ratke
Category1,84,147,Angel Steuber
Category2,20,116,Steve Runolfsdottir
Category1,32,107,Myron Bogan
Category2,18,172,Meghan Armstrong-McGlynn
Category1,75,138,Emily Pouros
Category2,58,170,Gayle Corkery
Category1,56,114,Mrs. Marcia Steuber
Category2,15,190,Mr. Jimmie Prohaska
Category1,98,145,Ms. Janet Wolff
Category2,100,188,Darlene Romaguera
Category1,8,170,Dr. Jeffery Champlin
Category2,21,109,Heidi Price
Category1,80,150,Casey Considine
Category2,41,133,Benjamin Purdy
Category1,81,181,Jeanette Fahey DDS
Category2,54,111,Christy Goyette MD
Category1,63,133,Jennie Bailey
Category2,63,118,Ernesto Smith
Category1,74,119,Josephine Reilly DDS
Category2,22,149,Francis Abshire
Category1,49,108,Lance Brown
Category2,44,165,Dr. Emanuel Graham V
Category1,48,133,Bert Schuppe
Category2,34,119,Jacquelyn Hammes
Category1,100,186,Erika Lehner-Lemke
Category2,89,192,Larry Pfannerstill
Category1,61,192,Marilyn Emard
Category2,22,103,Douglas Effertz
Category1,16,159,Phyllis Hahn
Category2,72,147,Mr. Dewey Toy
Category1,68,140,Wilma Beier
Category2,67,167,Misty Wuckert
Category1,79,108,Darrell Hodkiewicz
Category2,18,119,Jacquelyn Fritsch Jr.
Category1,27,127,Harvey Kuphal
Category2,7,173,Shelia McCullough
Category1,26,106,Isabel Stokes
Category2,9,140,Dexter Erdman
Category1,72,109,Rosemarie Raynor
Category2,37,163,Dr. Cecil Ziemann Jr.
Category1,76,128,Miss Janice Corkery
Category2,67,180,Isabel White
Category1,36,146,Glen Grimes MD
Category2,34,110,Eugene Moen
Category1,96,174,Dorothy Sipes
Category2,52,167,Becky Farrell
Category1,43,113,Stanley Reilly
Category2,100,190,Lucas Cormier
Category1,28,127,Willis Mueller
Category2,6,102,Adrienne Cronin
Category1,80,171,Alfonso Russel
Category2,34,160,Dr. Denise Osinski
Category1,26,176,Bradford Smith
Category2,98,153,Israel Ruecker
Category1,25,176,Darnell Mitchell
Category2,5,147,Mrs. Marian Larson
